"sku","title","product_type","description","price","quantity","currency","tags","materials","colors","occasion","recipient","personalization","production_time","image_1","taxonomy_id","shipping_profile_id","who_made","when_made","is_supply","should_auto_renew","type","state"
"ZART-001","Handmade Cold Porcelain Calla Lily Brooch Pin, White Flower Lapel Pin, Elegant Floral Accessory","Cold porcelain brooch / lapel pin","Elegant handmade cold porcelain calla lily brooch pin with white flowers, yellow centers, and green leaves on a gold tone pin. A delicate floral accessory for jackets, scarves, dresses, weddings, special occasions, or handmade gifts. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","15.0","1","USD","flower brooch|porcelain flower|calla lily pin|handmade brooch|lapel pin|floral accessory|wedding brooch|gift for her|boutique gift|cold porcelain|handmade flower|scarf pin|elegant brooch","cold porcelain, metal pin, handmade floral details","white, yellow, green, gold","wedding, birthday, special occasion, gift","women, her, bride, mother","Custom flower colors may be requested. Message before ordering.","Made to order / confirm by message","images/1.jpeg","1201","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-002","Hand Painted Decorative Ceramic Plate, Floral Woman Face Art Plate, Colorful Home Decor","Decorative hand painted plate","Colorful decorative plate featuring hand painted woman face artwork with floral and botanical details. Suitable as wall decor, shelf display, table styling, or a unique handmade gift for art lovers. This listing can represent similar custom painted plate designs from our catalog. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","30.0","1","USD","painted plate|decorative plate|ceramic art|woman face art|floral plate|home decor|wall plate|hand painted|art gift|colorful decor|boho decor|unique gift|table decor","ceramic plate, paint, protective finish if applicable","multi color, white, green, red, blue, yellow","housewarming, birthday, art gift","art lover, her, home decor lover","Custom colors or similar design requests may be discussed before ordering.","Made to order / confirm by message","images/2.jpeg","2850","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-003","Handmade Cold Porcelain Rose Brooch Pins, Floral Lapel Pins, Custom Flower Accessories","Cold porcelain floral brooch pins","Set-style display of handmade cold porcelain floral brooch pins with rose, leaf, and flower details in soft colors. These pins are suitable for scarves, jackets, coats, dresses, bridal styling, special occasions, or elegant handmade gifts. Each piece can be made in different flower and color combinations. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","15.0","1","USD","rose brooch|flower brooch|porcelain pin|lapel flower|scarf pin|handmade pin|floral jewelry|gift for her|bridal pin|cold porcelain|custom brooch|boutique gift|rose pin","cold porcelain, metal pin, handmade leaves, floral detailing","pink, cream, beige, green, purple, black, gold","wedding, birthday, bridal shower, special occasion","women, her, bride, mother","Choose flower color and style. Message before ordering.","Made to order / confirm by message","images/3.jpeg","1201","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-004","Hand Knit Baby Hooded Cardigan, Blue Baby Sweater, Custom Turkish Knit Baby Jacket","Baby hooded cardigan","Soft handmade blue baby hooded cardigan with textured knit details and front tie closure. A cozy baby sweater for newborn gifts, baby showers, everyday wear, and custom baby outfits. Size and color can be customized according to request. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","25.0","1","USD","baby cardigan|baby sweater|hooded cardigan|knit baby jacket|hand knit baby|newborn gift|baby shower gift|blue cardigan|custom baby knit|Turkish knit|baby clothes|handmade baby|winter baby","soft baby yarn, buttons or ties if included","light blue","baby shower, newborn gift, birthday","baby, newborn, toddler","Custom size and color available. Message before ordering.","Made to order / confirm by message","images/4.jpeg","2136","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-005","Hand Knit Striped Baby Sweater, Green White Brown Pullover, Custom Baby Knitwear","Baby pullover sweater","Hand knitted baby pullover sweater with green, white, and brown striped details. A warm and comfortable handmade baby clothing piece for everyday wear, baby gifts, and custom knit outfits. Color, size, and stripe style can be customized. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","25.0","1","USD","baby sweater|knit pullover|striped sweater|baby knitwear|handmade baby|green sweater|custom baby knit|baby shower gift|newborn clothes|Turkish knit|baby jumper|winter baby|knit gift","soft yarn, handmade knit detailing","green, white, brown","baby shower, newborn gift, birthday","baby, toddler","Custom size and colors available. Message before ordering.","Made to order / confirm by message","images/5.jpeg","2136","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-006","White Hand Knit Baby Cardigan, Buttoned Baby Sweater, Classic Handmade Baby Jacket","Baby buttoned cardigan","Classic white handmade baby cardigan with button front and textured knit pattern. A clean, timeless baby sweater suitable for newborn gifts, christening-style outfits, baby showers, and cozy everyday wear. Can be customized by size and color. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","25.0","1","USD","white cardigan|baby cardigan|baby sweater|hand knit baby|button cardigan|newborn gift|baby shower gift|classic baby|custom baby knit|Turkish knit|baby jacket|knit baby gift|winter baby","soft yarn, buttons, handmade knit detailing","white","newborn gift, baby shower, christening, birthday","baby, newborn, toddler","Custom size, color, and button style may be requested.","Made to order / confirm by message","images/6.jpeg","2136","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-007","Hand Knit Blue Gray Baby Sweater, Striped Pullover, Cozy Custom Baby Jumper","Baby striped pullover","Cozy handmade baby pullover sweater in bright blue and gray stripes with a soft textured look. A warm custom baby jumper for winter outfits, baby gifts, and everyday use. Size and colors can be adjusted for your request. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","25.0","1","USD","baby sweater|striped pullover|baby jumper|blue sweater|gray sweater|hand knit baby|custom baby knit|baby shower gift|winter baby|Turkish knit|knit babywear|handmade baby|cozy sweater","soft textured yarn, handmade knit detailing","blue, gray","baby shower, birthday, newborn gift","baby, toddler","Custom sizing and color options available by message.","Made to order / confirm by message","images/7.jpeg","2136","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-008","Hand Crocheted Straw Style Hat, Black Natural Summer Hat, Handmade Sun Hat","Crochet hat","Hand crocheted straw-style hat in natural beige and black tones. A lightweight handmade accessory for summer outfits, vacation styling, beach looks, garden days, or boutique gifting. Custom color combinations may be available. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","20.0","1","USD","crochet hat|summer hat|straw style hat|handmade hat|sun hat|beach hat|boho hat|women hat|custom hat|natural hat|black hat|crochet accessory|gift for her","crochet yarn or raffia-style fiber","natural beige, black","summer, vacation, birthday, gift","women, her","Custom colors may be requested before ordering.","Made to order / confirm by message","images/8.jpeg","25","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-009","Blue White Hand Knit Baby Sweater, Button Neck Pullover, Custom Turkish Baby Knit","Baby button neck pullover","Hand knitted baby sweater in blue and white with striped textured details and button neckline. A cozy handmade baby pullover for everyday wear, baby showers, newborn gifts, or custom baby outfits. Size and colors can be personalized. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","25.0","1","USD","baby sweater|blue baby sweater|button sweater|knit pullover|hand knit baby|custom baby knit|baby shower gift|newborn clothes|Turkish knit|striped sweater|baby jumper|winter baby|knit gift","soft yarn, buttons, handmade knit detailing","blue, white","baby shower, newborn gift, birthday","baby, toddler","Custom size and color available. Message before ordering.","Made to order / confirm by message","images/9.jpeg","2136","307465174571","i_did","made_to_order","false","true","physical","draft"
"ZART-010","Hand Knit Patchwork Blanket, Colorful Crochet Knit Throw, Custom Handmade Bed Blanket","Patchwork blanket / throw","Large handmade patchwork blanket with mixed knit textures and colorful square blocks. A cozy statement blanket for bed styling, sofa decor, nursery decor, housewarming gifts, or custom home textiles. Colors and size can be customized by request. Handmade item from ZArtDesignBoutique. This product is made with care and may be prepared as a custom order. Colors, size, design details, and personalization may be requested before purchase. Please message us before ordering to confirm availability, production time, and custom options. Slight handmade variations may occur.","45.0","1","USD","knit blanket|patchwork blanket|crochet blanket|bed blanket|handmade throw|colorful blanket|custom blanket|home decor|nursery blanket|sofa throw|housewarming|Turkish knit|cozy blanket","soft yarn, mixed knit textures","multi color, mustard, navy, mint, beige, purple","housewarming, baby gift, home decor gift","home, family, baby, her","Custom blanket size and color palette available by message.","Made to order / confirm by message","images/10.jpeg","915","307465174571","i_did","made_to_order","false","true","physical","draft"
